Tên ảnh,Biển số nhận diện,Ground Truth
AQUA1_25697_checkin_2020-10-23-8-17cJpC9WhKCt.jpg,30E25697,30F25697
AQUA1_43502_checkin_2020-10-23-8-17ifoUU8ftDr.jpg,30E43502,30E43502
AQUA1_43502_checkin_2020-10-23-8-52NVGEHEXUkc.jpg,30E43502,30E43502
AQUA1_68251_checkin_2020-10-23-9-38zxToTe0QmX.jpg,30A68251,30A68251
AQUA1_86034_checkin_2020-10-23-8-18Fz6zs0eJJT.jpg,30F8034,30F86034
AQUA2_00084_checkin_2020-10-26-10-0MoJoBpGu0I.jpg,29A00084,29A00084
AQUA2_0009_checkin_2020-10-29-9-1NqN17YSGrR.jpg,56S0009,56S0009
AQUA2_04180_checkin_2020-10-24-8-27mco3wdTq4q.jpg,30A04180,30A04180
AQUA2_04180_checkin_2020-11-2-7-21BPppqJjYMv.jpg,30A04180,30A04180
AQUA2_05685_checkin_2020-10-26-15-31jdKskibM8n.jpg,A9005685,29D05685
AQUA2_07718_checkin_2020-10-26-8-41Ix7h52swuU.jpg,90A07718,90A07718
AQUA2_19663_checkin_2020-10-31-7-48mDa65yh3hU.jpg,30G19663,30G19663
AQUA2_21740_checkin_2020-11-1-15-56DxHKwQn80a.jpg,89A21740,89A21740
AQUA2_25808_checkin_2020-11-1-13-86vj6kI0aXD.jpg,29A25808,29A25808
AQUA2_25885_checkin_2020-10-27-8-13UyoZCiZ88E.jpg,29A25885,29A25885
AQUA2_33254_checkin_2020-11-2-14-171KCA8igSZ9.jpg,99A33254,99A33254
AQUA2_33744_checkin_2020-10-26-14-8Yj73zqMEF7.jpg,88A33744,88A33744
AQUA2_37619_checkin_2020-11-2-9-24POT7I2lv36.jpg,30A37519,30A37519
AQUA2_44101_checkin_2020-10-27-11-8VEQvs8aep_.jpg,30F44101,30F44101
AQUA2_50483_checkin_2020-10-28-18-193H0q6KEtIM.jpg,30F50483,30F50483
AQUA2_58373_checkin_2020-10-29-9-48eT1I4OVstC.jpg,30A58373,30A58373
AQUA2_60432_checkin_2020-10-26-8-50r9UZ2a91Ms.jpg,29A60432,29A60432
AQUA2_77998_checkin_2020-10-28-8-29mNO_N2GaTr.jpg,29A77998,29A77998
AQUA2_93591_checkin_2020-10-25-8-46pMROslbI8g.jpg,30F93591,30F93591
AQUA2_95280_checkin_2020-10-30-10-30BtMOvYaZJI.jpg,30F9280,30F95280
AQUA2_95394_checkin_2020-10-31-11-2uFpYxFnvy_.jpg,29A95394,29A95394
AQUA2_97025_checkin_2020-10-26-7-35Qa6PUpYN1P.jpg,30F97025,30F97025
AQUA2_97701_checkin_2020-10-27-11-30SGrEwo1aPT.jpg,29A97701,29A97701
AQUA2__checkout_2020-10-26-7-51j9G2XHYAds.jpg,30F97025,30F97025
AQUA2__checkout_2020-10-26-8-48B9aLRyJw5I.jpg,90A07718,90A07718
AQUA2__checkout_2020-10-27-11-15b_P3z2SHnw.jpg,30F44101,30F44101
AQUA2__checkout_2020-10-28-18-24quNv9CBUlr.jpg,30F50483,30F50483
AQUA2__checkout_2020-10-28-8-38Mtsln3KIhA.jpg,29A77998,29A77998
AQUA2__checkout_2020-10-29-9-58jy7Lae9GYD.jpg,30A58373,30A58373
AQUA2__checkout_2020-10-29-9-5CSoAYDMVdZ.jpg,56S0009,56S0009
AQUA2__checkout_2020-11-2-7-22iITx6tjYB3.jpg,30A04180,30A04180
AQUA4_01418_checkin_2020-10-23-8-30V_A_uWFhhN.jpg,36A01418,36A01418
AQUA4_01418_checkin_2020-10-23-8-34AWfpPOgyfw.jpg,36A01478,36A01418
AQUA4_01418_checkoutex_2020-10-23-8-42EJ1VkjYWIr.jpg,36A01418,36A01418
AQUA4_01771_checkin_2020-10-26-18-31xoumolnhXC.jpg,29A01771,29A01771
AQUA4_02965_checkin_2020-10-31-14-52Ngkc7elxqG.jpg,30A02965,30A02965
AQUA4_03038_checkin_2020-10-31-11-17Met0ZZ7rpX.jpg,20A03038,20A03038
AQUA4_03336_checkin_2020-10-26-8-35bA7bzcTDJ3.jpg,88A03336,88A03336
AQUA4_10993_checkin_2020-10-26-9-59Q9SC1vK434.jpg,89A10993,89A10993
AQUA4_21510_checkin_2020-10-30-17-15CAkuzVboaU.jpg,30F21510,30F21510
AQUA4_21596_checkin_2020-10-26-15-18rl5M3jVBdB.jpg,29021596,29D21596
AQUA4_36257_checkin_2020-10-29-18-98rdxnnEnIU.jpg,29A3627,29A36257
AQUA4_43912_checkin_2020-10-28-14-29ucnUzK9AcS.jpg,90G4392,30G43912
AQUA4_46189_checkin_2020-10-26-17-13vAzvOY2T9y.jpg,30F46189,30F46189
AQUA4_46189_checkin_2020-10-28-17-40mUq_rbzcEB.jpg,30F46189,30F46189
AQUA4_46748_checkin_2020-10-31-8-37nBtP_h4XNk.jpg,30A46748,30A46748
AQUA4_50833_checkin_2020-10-31-16-390dAkta7eRm.jpg,30F50833,30F50833
AQUA4_69919_checkin_2020-10-22-16-12UZK6rRePEp.jpg,30A69919,30A69919
AQUA4_70192_checkin_2020-10-31-16-10GYHXSX2wuM.jpg,30F70192,30F70192
AQUA4_71103_checkin_2020-10-30-16-49fmhlrXzwPK.jpg,30A71103,30A71103
AQUA4_74338_checkin_2020-11-1-9-30nr6jL8uC5z.jpg,30F74338,30F74338
AQUA4_77397_checkin_2020-10-23-8-390PQG_ymP23.jpg,36A01418,35A01418
AQUA4_92840_checkin_2020-10-31-13-22Mso04uDf58.jpg,30F92840,30F92840
AQUA4__checkout_2020-10-26-10-2jaRko6AlI7.jpg,89A10993,89N10993
AQUA5_00635_checkin_2020-11-1-17-3148ZtOahbe.jpg,15A00635,15A00635
AQUA5_04104_checkin_2020-10-26-8-3n4i8wrw8fo.jpg,36A04104,36A04104
AQUA5_10429_checkin_2020-10-28-20-30Epk9yPq2kn.jpg,89A10429,89A10429
