epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,302.635,1.01698,0.41576,1.0055,0.9956,0.98438,0.99474,0.72057,1.02993,0.38262,1.01097,0.000664825,0.000664825,0.000664825
2,674.606,1.04047,0.44531,1.01613,0.98884,0.98147,0.99332,0.70971,1.04931,0.41348,1.0252,0.00130513,0.00130513,0.00130513
3,1011.93,1.07069,0.47764,1.03374,0.98883,0.98057,0.9945,0.7079,1.06075,0.43033,1.03082,0.00191903,0.00191903,0.00191903
4,1359.26,1.0688,0.48476,1.03238,0.99149,0.98299,0.99433,0.6975,1.09411,0.46179,1.04887,0.0018812,0.0018812,0.0018812
5,1687.11,1.05823,0.48227,1.03178,0.99059,0.99051,0.9937,0.71561,1.04511,0.429,1.02499,0.0018416,0.0018416,0.0018416
6,1995.05,1.06501,0.47513,1.03071,0.9837,0.98774,0.99423,0.69777,1.08627,0.4243,1.04029,0.001802,0.001802,0.001802
7,2277.76,1.06433,0.47133,1.03087,0.99011,0.99037,0.99446,0.71015,1.05697,0.42144,1.01832,0.0017624,0.0017624,0.0017624
8,2576.57,1.05839,0.47172,1.02847,0.99226,0.98576,0.99349,0.71002,1.05246,0.41798,1.02528,0.0017228,0.0017228,0.0017228
9,2887.75,1.06006,0.47014,1.02825,0.99078,0.98774,0.99456,0.713,1.04785,0.41423,1.02407,0.0016832,0.0016832,0.0016832
10,3174.3,1.05184,0.45987,1.02473,0.99126,0.98683,0.9947,0.70701,1.06465,0.42171,1.02615,0.0016436,0.0016436,0.0016436
11,3458.94,1.05446,0.46275,1.02611,0.99205,0.98775,0.99459,0.71404,1.03784,0.40902,1.02151,0.001604,0.001604,0.001604
12,3687.62,1.05431,0.45883,1.02668,0.99048,0.98774,0.99461,0.7128,1.05312,0.41014,1.02272,0.0015644,0.0015644,0.0015644
13,3863.3,1.0521,0.45808,1.02854,0.99522,0.98834,0.99468,0.72267,1.0255,0.39412,1.01507,0.0015248,0.0015248,0.0015248
14,4168.94,1.04381,0.45382,1.01943,0.99364,0.98814,0.99487,0.71896,1.03693,0.4135,1.02111,0.0014852,0.0014852,0.0014852
15,4468.47,1.04414,0.45063,1.02464,0.98972,0.99001,0.99399,0.7161,1.04048,0.398,1.01816,0.0014456,0.0014456,0.0014456
16,4752.44,1.04878,0.44732,1.01927,0.9903,0.98853,0.99432,0.71917,1.0328,0.39979,1.01402,0.001406,0.001406,0.001406
17,5101.54,1.02932,0.44188,1.01398,0.99306,0.99011,0.99481,0.72098,1.02891,0.38927,1.01039,0.0013664,0.0013664,0.0013664
18,5459.38,1.03948,0.44373,1.01784,0.99128,0.98894,0.9948,0.72238,1.02586,0.39204,1.01281,0.0013268,0.0013268,0.0013268
19,5761,1.02268,0.43799,1.00862,0.99327,0.98853,0.99481,0.72368,1.02078,0.3813,1.00466,0.0012872,0.0012872,0.0012872
20,6043.5,1.02402,0.43166,1.01267,0.99259,0.9909,0.99476,0.7237,1.0239,0.38273,1.01098,0.0012476,0.0012476,0.0012476
21,6326.8,1.03036,0.43512,1.01031,0.99286,0.99059,0.99475,0.72428,1.02281,0.38248,1.0072,0.001208,0.001208,0.001208
22,6608.18,1.02341,0.43196,1.00785,0.99135,0.99051,0.99481,0.72244,1.02495,0.38036,1.00636,0.0011684,0.0011684,0.0011684
23,6933.14,1.01299,0.42595,1.01135,0.9903,0.99209,0.99472,0.7206,1.03437,0.37535,1.02029,0.0011288,0.0011288,0.0011288
24,7253.23,1.01724,0.4253,1.00528,0.99325,0.98813,0.99454,0.72311,1.02393,0.37677,1.00533,0.0010892,0.0010892,0.0010892
25,7552.93,1.01394,0.42187,1.01131,0.99072,0.99209,0.99468,0.72116,1.03432,0.38052,1.01398,0.0010496,0.0010496,0.0010496
26,7892.36,1.01031,0.4171,1.0042,0.9934,0.99288,0.99487,0.72384,1.0282,0.36481,1.0039,0.00101,0.00101,0.00101
27,8252.34,1.01449,0.41644,1.00582,0.99208,0.99102,0.99429,0.72304,1.02301,0.37446,1.00856,0.0009704,0.0009704,0.0009704
28,8591.33,1.01409,0.4196,1.00994,0.99287,0.99143,0.99483,0.72619,1.01191,0.36031,1.00315,0.0009308,0.0009308,0.0009308
29,8945.61,1.0092,0.41702,1.00455,0.99055,0.99494,0.99472,0.72469,1.02135,0.37039,1.0046,0.0008912,0.0008912,0.0008912
30,9249.44,1.0072,0.41437,1.00747,0.99446,0.99398,0.99484,0.72499,1.02027,0.36282,1.00297,0.0008516,0.0008516,0.0008516
31,9578.44,0.99584,0.40512,1.00088,0.99015,0.99383,0.99438,0.72622,1.01465,0.36462,1.00201,0.000812,0.000812,0.000812
32,9958.04,0.98839,0.40249,0.99618,0.99444,0.99133,0.9949,0.72695,1.01823,0.36267,1.00675,0.0007724,0.0007724,0.0007724
33,10321.1,0.98858,0.40019,1.00245,0.99249,0.99297,0.99493,0.72681,1.01939,0.35631,1.00151,0.0007328,0.0007328,0.0007328
34,10641.2,0.99196,0.40204,1.00537,0.99406,0.99276,0.9949,0.72874,1.0118,0.35906,1.00368,0.0006932,0.0006932,0.0006932
35,10996.2,0.98961,0.39789,1.00399,0.99507,0.98972,0.99488,0.72898,1.01182,0.35536,1.00448,0.0006536,0.0006536,0.0006536
